"","tracts","est","ci_l","ci_h","p","pFDR"
"80","v_extra_CSTR",-0.0420112917575338,-0.220144547853437,0.136121964338369,0.578358618082395,0.999339937233234
"81","v_csf_CSTR",-0.0265062631260641,-0.206364785286868,0.15335225903474,0.678665421355156,0.999339937233234
"82","micro_Rd_CSTR",0.00691581930015055,-0.163364846125456,0.177196484725757,0.941480076928129,0.999339937233234
"83","micro_FA_CSTR",0.0176649459891742,-0.16133283978905,0.196662731767399,0.802691346231582,0.999339937233234
"84","micro_Ax_CSTR",0.024099513105592,-0.155815594474251,0.204014620685435,0.724447164125737,0.999339937233234
"85","micro_ADC_CSTR",0.0119167180609065,-0.166404183188156,0.190237619309969,0.882691215652981,0.999339937233234
"86","Dax_intra_CSTR",0.00454993477658244,-0.175356544606204,0.184456414159369,0.949736623671318,0.999339937233234
"87","Dax_extra_CSTR",0.0127588365685956,-0.16715637383659,0.192674046973782,0.856508609559755,0.999339937233234
"88","mk_CSTR",0.144020188813908,-0.0334274813120297,0.321467858939847,0.209812570867464,0.999339937233234
"89","rk_CSTR",0.078974955526999,-0.0962603931286367,0.254210304182635,0.361626255980759,0.999339937233234
"90","ak_CSTR",0.200695962235859,0.0220767142611859,0.379315210210531,0.198691575172407,0.999339937233234
"91","FA_CSTR",-0.189243193966705,-0.356629765880091,-0.0218566220533186,0.0348539466875747,0.999339937233234
"92","MD_CSTR",-0.0787669259335862,-0.251356182845763,0.0938223309785905,0.331873688931997,0.999339937233234
"93","RD_CSTR",0.0360690932273258,-0.132173241949939,0.204311428404591,0.618010168096789,0.999339937233234
"94","AD_CSTR",-0.253094243719498,-0.432084868802927,-0.0741036186360684,0.0263400396236881,0.999339937233234
"95","smt_fa_CSTR",0.064624795205852,-0.113458756642589,0.242708347054293,0.292400139896452,0.999339937233234
"96","smt_long_CSTR",-0.0189970810441856,-0.195318430241189,0.157324268152818,0.83817770189366,0.999339937233234
"97","smt_md_CSTR",-0.0431822745778498,-0.21699957601466,0.13063502685896,0.641125756554893,0.999339937233234
"98","smt_trans_CSTR",-0.0889721972238065,-0.263261028156844,0.0853166337092307,0.235644885808331,0.999339937233234
"99","smt_mc_intra_CSTR",0.0695255859511605,-0.106844425097647,0.245895596999967,0.410814145184992,0.999339937233234
"100","smt_mc_extramd_CSTR",-0.0642400032556068,-0.238316887036253,0.109836880525039,0.52190090685051,0.999339937233234
"101","smt_mc_extratrans_CSTR",-0.0644590946860737,-0.237558593960871,0.108640404588724,0.487929104765175,0.999339937233234
"102","smt_mc_diff_CSTR",-0.0129799562490608,-0.192590414683733,0.166630502185612,0.884458233776378,0.999339937233234
"103","awf_CSTR",0.0447954439238674,-0.128590743385791,0.218181631233526,0.620169438166294,0.999339937233234
"104","radEAD_CSTR",0.0734673019089829,-0.100178727977588,0.247113331795553,0.293295758065517,0.999339937233234
"105","v_intra_CINGL",-0.027484520140852,-0.203524514355289,0.148555474073585,0.748626175548659,0.999339937233234
"106","v_extra_CINGL",0.0717916669521021,-0.106543717392252,0.250127051296456,0.417115124481617,0.999339937233234
"107","v_csf_CINGL",-0.0168749482343737,-0.196635491975828,0.162885595507081,0.79660543368114,0.999339937233234
"108","micro_Rd_CINGL",0.0430008480835175,-0.125690984788802,0.211692680955836,0.514700542613449,0.999339937233234
"109","micro_FA_CINGL",-0.0172847955892349,-0.194247435641754,0.159677844463285,0.812347509372648,0.999339937233234
"110","micro_Ax_CINGL",0.00534178646804351,-0.174579602134989,0.185263175071076,0.94190156982101,0.999339937233234
"111","micro_ADC_CINGL",0.00971933279820412,-0.166843355884772,0.18628202148118,0.901561643135142,0.999339937233234
"112","Dax_intra_CINGL",-0.00552630624264615,-0.185420149163942,0.17436753667865,0.941146095685504,0.999339937233234
"113","Dax_extra_CINGL",-0.00471570853088654,-0.184619831979067,0.175188414917293,0.950724827305094,0.999339937233234
"114","mk_CINGL",-0.0124167912969651,-0.187908606433614,0.163075023839684,0.908583735081768,0.999339937233234
"115","rk_CINGL",-0.0595790438968234,-0.232391429688379,0.113233341894732,0.458388292320586,0.999339937233234
"116","ak_CINGL",0.0312655041945012,-0.148038490057114,0.210569498446116,0.807781634697487,0.999339937233234
"117","FA_CINGL",-0.163691077408951,-0.336693059475433,0.00931090465753059,0.0256194001491089,0.999339937233234
"118","MD_CINGL",-0.0438926759074007,-0.215710470462418,0.127925118647617,0.550107636839808,0.999339937233234
"119","RD_CINGL",0.0278343275663492,-0.141856549452755,0.197525204585454,0.684580335545067,0.999339937233234
"120","AD_CINGL",-0.154868163264038,-0.332213847891559,0.0224775213634825,0.0812674973198388,0.999339937233234
"121","smt_fa_CINGL",-0.0237240848637168,-0.196730022625262,0.149281852897828,0.736313488197097,0.999339937233234
"122","smt_long_CINGL",-0.112815525647548,-0.292322857223096,0.0666918059279994,0.136367393141943,0.999339937233234
"123","smt_md_CINGL",-0.0877701011455947,-0.264442776006469,0.0889025737152802,0.283974319676896,0.999339937233234
"124","smt_trans_CINGL",0.0125772536520715,-0.157013185510181,0.182167692814324,0.877468154863306,0.999339937233234
"125","smt_mc_intra_CINGL",-0.0423100990112977,-0.215743989094197,0.131123791071602,0.694126944620305,0.999339937233234
"126","smt_mc_extramd_CINGL",-0.0968319206719569,-0.273869619642504,0.0802057782985898,0.240231788952425,0.999339937233234
"127","smt_mc_extratrans_CINGL",-0.0490815260272022,-0.222817971999853,0.124654919945449,0.642447925063971,0.999339937233234
