"","regions","est","ci_l","ci_h","p","pFDR"
"665","MD_SuperiorlongitudinalfasciculusR",-0.0993362837508792,-0.271477811316161,0.0728052438144031,0.25095085619199,0.65141034094586
"666","MD_SuperiorlongitudinalfasciculusL",-0.0412733723203316,-0.215256571573674,0.132709826933011,0.702955007128742,0.888890604411274
"667","MD_SuperiorfrontooccipitalfasciculusR",-0.0843192288744215,-0.25283232580754,0.0841938680586973,0.281978757457712,0.668611792483886
"668","MD_SuperiorfrontooccipitalfasciculusL",0.0228913732299409,-0.148223617328609,0.19400636378849,0.863111295501845,0.954931646087147
"669","MD_UncinatefasciculusR",-0.182614974628282,-0.362733801819755,-0.00249614743680926,0.0281079561786037,0.294203687914451
"670","MD_UncinatefasciculusL",-0.200723962940053,-0.38253548144518,-0.0189124444349272,0.0217699577817435,0.270173178404662
"671","MD_TapetumR",0.207074206848165,0.041942292541797,0.372206121154533,0.0192933920650522,0.245695441808012
"672","MD_TapetumL",0.0395198324108538,-0.12932949240639,0.208369157228097,0.658641901289843,0.867231824057104
"673","RD_Middlecerebellarpeduncle",-0.061847779788128,-0.2425623821006,0.118866822524344,0.532441078359153,0.811338786071091
"674","RD_Pontine",-0.0572695083371321,-0.239311321473121,0.124772304798857,0.516863632296231,0.804808369629176
"675","RD_GenuCC",-0.186115447493715,-0.34984026566533,-0.0223906293221003,0.0111678494928789,0.172143738399058
"676","RD_BodyCC",-0.321317981362037,-0.487336510214286,-0.155299452509787,2.86464321062461e-05,0.00357507472685952
"677","RD_SpleniumCC",-0.08383772331571,-0.255182144014598,0.0875066973831778,0.267278704226508,0.657916810403712
"678","RD_Fornix",0.155984839697734,0.00756066902224425,0.304409010373224,0.0470522303917278,0.36269558201341
"679","RD_CorticospinaltractR",-0.0618860747491449,-0.242798292350573,0.119026142852283,0.450370584564033,0.754931000226223
"680","RD_CorticospinaltractL",0.0209277763719573,-0.160352038067403,0.202207590811317,0.824549251855126,0.939364007532344
"681","RD_MediallemniscusR",0.137829038399203,-0.0426502892845314,0.318308366082938,0.177175373537379,0.555016097073582
"682","RD_MediallemniscusL",0.142667139084647,-0.0374915480240982,0.322825826193393,0.149892036974372,0.515006214018564
"683","RD_InferiorcerebellarpeduncleR",0.00307921911332206,-0.174845113362964,0.181003551589608,0.973055786227791,0.988903600335736
"684","RD_InferiorcerebellarpeduncleL",0.0158615777211765,-0.158834579381826,0.190557734824179,0.852200656638477,0.94874792103909
"685","RD_SuperiorcerebellarpeduncleR",0.299900152019138,0.118169531589905,0.481630772448371,0.00208250719667638,0.0683939205645295
"686","RD_SuperiorcerebellarpeduncleL",0.386695338878143,0.206407933673269,0.566982744083016,0.000170380268665287,0.0141756383529519
"687","RD_CerebralpeduncleR",0.0451828354418408,-0.132224927353115,0.222590598236797,0.61000247400084,0.841063413877193
"688","RD_CerebralpeduncleL",-0.0898889421922575,-0.262738443333872,0.082960558949357,0.2925176592117,0.668611792483886
"689","RD_AnteriorlimbofinternalcapsuleR",-0.120573584094499,-0.291191783863819,0.0500446156748215,0.123095115771278,0.488624324861992
"690","RD_AnteriorlimbofinternalcapsuleL",-0.0770260147265091,-0.250323845366138,0.0962718159131204,0.570901257915398,0.828470662649322
"691","RD_.PosteriorlimbofinternalcapsuleR",-0.176128825144091,-0.355782420380891,0.00352477009270999,0.0506563264202408,0.369702312119652
"692","RD_PosteriorlimbofinternalcapsuleL",-0.17461868573412,-0.354018422253401,0.00478105078516111,0.07449454129601,0.425349562859247
"693","RD_RetrolenticularpartofinternalcapsuleR",-0.0217386252256383,-0.197121446345215,0.153644195893938,0.799323867701239,0.935579334480634
"694","RD_RetrolenticularpartofinternalcapsuleL",-0.0242164686414664,-0.197983494329469,0.149550557046536,0.78273469210489,0.929448603457794
"695","RD_AnteriorcoronaradiataR",-0.115463300493578,-0.277524389832674,0.0465977888455185,0.133456985918577,0.500118292657403
