"","tracts","est","ci_l","ci_h","p","pFDR"
"195","FA_CGR",0.194144754053342,0.0222969191316215,0.365992588975062,0.0289753562783936,0.527189648069089
"196","MD_CGR",-0.16708524842486,-0.343662470869592,0.00949197401987226,0.044110979023101,0.576473921511844
"197","RD_CGR",-0.200533082768902,-0.373174709502928,-0.027891456034876,0.0136603181288442,0.484884354419055
"198","AD_CGR",-0.0222046377375958,-0.204788913877903,0.160379638402711,0.805043934080742,0.966917947956164
"199","smt_fa_CGR",0.11701698918007,-0.062376910915213,0.296410889275353,0.125956013211133,0.735922773817858
"200","smt_long_CGR",-0.107322171517002,-0.288308004070708,0.0736636610367035,0.221051765667693,0.758204579704685
"201","smt_md_CGR",-0.138606426676691,-0.316173480358108,0.0389606270047259,0.103035998163738,0.661545458462323
"202","smt_trans_CGR",-0.163331290999007,-0.338391275541865,0.0117286935438499,0.0354182021802055,0.555946866663553
"203","smt_mc_intra_CGR",0.152589155548001,-0.0251355222903704,0.330313833386373,0.0675482456979337,0.644159003104179
"204","smt_mc_extramd_CGR",-0.120004488346195,-0.299042352318245,0.0590333756258543,0.150028344683267,0.751538873747432
"205","smt_mc_extratrans_CGR",-0.166249334044879,-0.340743436958373,0.00824476886861419,0.0443441478086034,0.576473921511844
"206","smt_mc_diff_CGR",0.043294612288507,-0.140069277111084,0.226658501688098,0.609838426307926,0.955250448053141
"207","awf_CGR",0.130383134184625,-0.0447642258999468,0.305530494269197,0.132469173840296,0.751538873747432
"208","radEAD_CGR",-0.278913275298315,-0.461538843931821,-0.0962877066648081,0.000145182560050914,0.0754949312264752
"209","v_intra_IFOFL",-0.0128944001247192,-0.191977629039433,0.166188828789995,0.893542648516724,0.985377541445192
"210","v_extra_IFOFL",-0.0776342262930041,-0.259707561588429,0.10443910900242,0.412352248111464,0.882503885501808
"211","v_csf_IFOFL",-0.0532761117917796,-0.232589478401484,0.126037254817924,0.610453467921058,0.955250448053141
"212","micro_Rd_IFOFL",-0.0438063780548919,-0.213697322105809,0.126084565996025,0.669337944288788,0.961479919972844
"213","micro_FA_IFOFL",-0.00324213108487745,-0.18255959547556,0.176075333305805,0.973541293856241,0.987263736173718
"214","micro_Ax_IFOFL",-0.142727433055044,-0.325605185894179,0.0401503197840916,0.208455435878266,0.758204579704685
"215","micro_ADC_IFOFL",-0.0800426568353566,-0.2561650951134,0.0960797814426865,0.434584226205349,0.886210971085418
"216","Dax_intra_IFOFL",-0.125814231426308,-0.309010752452216,0.0573822895995998,0.226262049460299,0.758204579704685
"217","Dax_extra_IFOFL",-0.137651937148009,-0.320412113791291,0.0451082394952737,0.189860243954844,0.758204579704685
"218","mk_IFOFL",-0.0203747629137348,-0.196420943257063,0.155671417429593,0.808503205121616,0.966917947956164
"219","rk_IFOFL",-0.0238722274682754,-0.194067221503387,0.146322766566836,0.795400617532886,0.966917947956164
